<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
1.05509,1.05596,1.05495,1.05563,1865
1.05564,1.05633,1.05482,1.05575,2506
1.05575,1.05698,1.05505,1.05585,2616
1.05586,1.05687,1.05534,1.05664,3007
1.05662,1.05814,1.05661,1.05711,3529
1.05711,1.05719,1.05538,1.05594,2700
1.05594,1.05777,1.05526,1.05743,6881
1.05742,1.05865,1.05665,1.05753,6796
1.05752,1.05857,1.05669,1.05686,6049
1.05687,1.05839,1.05637,1.05758,4402
1.05757,1.05795,1.05696,1.05772,3131
1.05772,1.05903,1.0573,1.05897,4205
1.05897,1.05913,1.05756,1.05758,3453
1.05758,1.05829,1.05725,1.05793,4581
1.05792,1.05821,1.05751,1.05814,1405
1.0581,1.05844,1.05787,1.05808,583
1.05809,1.05851,1.05781,1.05851,1041
1.05852,1.05993,1.05852,1.05986,2381
1.05987,1.05992,1.05893,1.05946,2219
1.05946,1.05958,1.0579,1.05896,5228
1.05894,1.05981,1.05856,1.05967,2240
1.05967,1.05985,1.05932,1.05945,1853
1.05945,1.05952,1.05858,1.05867,1780
1.05866,1.05911,1.05813,1.05837,2242
1.0584,1.06068,1.05838,1.05948,5132
1.05948,1.05989,1.0574,1.05917,5994
1.05916,1.05988,1.05799,1.05813,4657
1.05814,1.06039,1.05778,1.05878,4164
1.05878,1.06022,1.05867,1.05896,3545
1.05896,1.05986,1.05807,1.05944,4756
1.05943,1.06442,1.05819,1.06217,14421
1.06218,1.06744,1.06121,1.06665,17777
1.06669,1.07008,1.06669,1.06874,14095
1.06874,1.06875,1.06553,1.06589,10982
1.0659,1.06739,1.06556,1.06685,6781
1.06685,1.06728,1.06397,1.06432,5513
1.06432,1.06518,1.06361,1.06434,6902
1.06436,1.06481,1.06368,1.06372,6038
1.06371,1.06416,1.06365,1.06381,1203
1.06993,1.07019,1.06769,1.06921,2649
1.06917,1.07022,1.06774,1.06808,7908
1.06808,1.06981,1.06757,1.06814,7914
1.06814,1.06872,1.06639,1.06686,5790
1.06684,1.07315,1.0668,1.07303,8377
1.07304,1.07369,1.07163,1.0717,5789
1.07171,1.07257,1.07164,1.07178,3514
1.07179,1.07266,1.07172,1.07204,3347
1.07203,1.07297,1.07131,1.07214,4336
1.07216,1.07372,1.07159,1.07254,7346
1.07253,1.0729,1.07041,1.07076,8471
1.07076,1.07076,1.06626,1.06704,14970
1.06705,1.0681,1.06603,1.06742,10705
1.06742,1.06768,1.06576,1.06641,10773
1.06642,1.06981,1.06504,1.06964,18248
1.06962,1.07212,1.06854,1.06994,13000
1.06991,1.0728,1.06968,1.07227,13218
1.07226,1.07336,1.07117,1.07333,11939
1.07333,1.07426,1.07227,1.07397,10092
1.07397,1.07486,1.07332,1.07384,6091
1.07387,1.07428,1.07294,1.0734,6436
1.0734,1.07348,1.0721,1.07298,7689
1.07298,1.07332,1.0726,1.07308,1866
1.07274,1.07339,1.07271,1.07286,482
1.07274,1.07304,1.0725,1.07268,3057
1.07268,1.07293,1.07225,1.07228,1710
1.07228,1.07242,1.07112,1.07191,4251
1.07191,1.07213,1.07052,1.07085,4748
