<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.01.12,14:00:00,1.07618,1.07667,1.07549,1.07629,4776
2023.01.12,15:00:00,1.07628,1.08386,1.07302,1.08291,16572
2023.01.12,16:00:00,1.08291,1.08337,1.07515,1.07677,17432
2023.01.12,17:00:00,1.07677,1.08097,1.07637,1.0807,17373
2023.01.12,18:00:00,1.08069,1.0826,1.08025,1.08225,11737
2023.01.12,19:00:00,1.08226,1.0849,1.08214,1.08487,8055
2023.01.12,20:00:00,1.08487,1.0867,1.08463,1.08557,8197
2023.01.12,21:00:00,1.08557,1.08561,1.08397,1.08494,6182
2023.01.12,22:00:00,1.08493,1.08524,1.08413,1.08522,5060
2023.01.12,23:00:00,1.08523,1.08551,1.08488,1.08515,1630
